Barcode,Well,Result
NB00153860,I25,4588593
NB00153860,I26,4717225
NB00153860,I27,4830503
NB00153860,I28,4633643
NB00153860,I29,4739641
NB00153860,I30,4931952
NB00153860,I31,4937069
NB00153860,I32,4882944
NB00153860,I33,4893973
NB00153860,I34,5021336
NB00153860,I35,5027857
NB00153860,I36,4925079
NB00153860,I37,5037117
NB00153860,I38,5022075
NB00153860,I39,5063477
NB00153860,I40,5044317
NB00153860,I41,5192889
NB00153860,I42,5116907
NB00153860,I43,5131089
NB00153860,I44,5114399
NB00153860,I45,5239031
NB00153860,I46,5275776
NB00153860,I47,5196182
NB00153860,I48,5129930
NB00153860,J01,137869
NB00153860,J02,141680
NB00153860,J03,138570
NB00153860,J04,136312
NB00153860,J05,5038767
NB00153860,J06,5111311
NB00153860,J07,5038888
NB00153860,J08,4941303
NB00153860,J09,4978057
NB00153860,J10,5031076
NB00153860,J11,4885104
NB00153860,J12,4901864
NB00153860,J13,4944359
NB00153860,J14,5172055
NB00153860,J15,5159686
NB00153860,J16,4916273
NB00153860,J17,4945672
NB00153860,J18,5013490
NB00153860,J19,5013180
NB00153860,J20,5195167
NB00153860,J21,4940113
NB00153860,J22,4983027
NB00153860,J23,5000008
NB00153860,J24,4967979
NB00153860,J25,5089961
NB00153860,J26,5073367
NB00153860,J27,5131961
NB00153860,J28,5206737
NB00153860,J29,5340637
NB00153860,J30,5044324
NB00153860,J31,5038119
NB00153860,J32,5149607
NB00153860,J33,5262387
NB00153860,J34,5190135
NB00153860,J35,5117452
NB00153860,J36,5260374
NB00153860,J37,5258323
NB00153860,J38,5338544
NB00153860,J39,5280837
NB00153860,J40,5347090
NB00153860,J41,5265491
NB00153860,J42,5363104
NB00153860,J43,5209358
NB00153860,J44,5280478
NB00153860,J45,5437467
NB00153860,J46,5446419
NB00153860,J47,5304716
NB00153860,J48,5204976
NB00153860,K01,158582
NB00153860,K02,136391
NB00153860,K03,134044
NB00153860,K04,133188
NB00153860,K05,4866246
NB00153860,K06,4838338
NB00153860,K07,4864969
NB00153860,K08,4817656
NB00153860,K09,4690395
NB00153860,K10,4756802
NB00153860,K11,4767430
NB00153860,K12,4719036
NB00153860,K13,4755042
NB00153860,K14,4859890
NB00153860,K15,4797945
NB00153860,K16,4754580
NB00153860,K17,4855556
NB00153860,K18,4801236
NB00153860,K19,4884040
NB00153860,K20,4673832
NB00153860,K21,4745053
NB00153860,K22,4628931
NB00153860,K23,4592212
NB00153860,K24,4873664
NB00153860,K25,4691597
NB00153860,K26,5011321
NB00153860,K27,4870777
NB00153860,K28,4805309
NB00153860,K29,4792035
NB00153860,K30,4950916
NB00153860,K31,5194182
NB00153860,K32,4839672
NB00153860,K33,8198746
NB00153860,K34,5029253
NB00153860,K35,4916730
NB00153860,K36,4934385
NB00153860,K37,5060787
NB00153860,K38,5226927
NB00153860,K39,5130225
NB00153860,K40,5311383
NB00153860,K41,5278884
NB00153860,K42,5395854
NB00153860,K43,5255552
NB00153860,K44,5262575
NB00153860,K45,5457810
NB00153860,K46,5318752
NB00153860,K47,5296486
NB00153860,K48,5220956
NB00153860,L01,136185
NB00153860,L02,140104
NB00153860,L03,135044
NB00153860,L04,135562
NB00153860,L05,5003407
NB00153860,L06,5375493
NB00153860,L07,4930454
NB00153860,L08,4878926
NB00153860,L09,4837670
NB00153860,L10,5002721
NB00153860,L11,4910307
NB00153860,L12,4907709
NB00153860,L13,5141391
NB00153860,L14,4934737
NB00153860,L15,5047328
NB00153860,L16,5043165
NB00153860,L17,4997468
NB00153860,L18,4888322
NB00153860,L19,4993970
NB00153860,L20,4885520
NB00153860,L21,5105027
NB00153860,L22,4821805
NB00153860,L23,5001847
NB00153860,L24,5073298
NB00153860,L25,5171852
NB00153860,L26,5176633
NB00153860,L27,5215496
NB00153860,L28,5219559
NB00153860,L29,5209364
NB00153860,L30,5004767
NB00153860,L31,5183971
NB00153860,L32,5115101
NB00153860,L33,5301229
NB00153860,L34,5163185
NB00153860,L35,5167547
NB00153860,L36,5105099
NB00153860,L37,5373391
NB00153860,L38,5485029
NB00153860,L39,5284560
NB00153860,L40,5310573
NB00153860,L41,5541065
NB00153860,L42,5443426
NB00153860,L43,5431174
NB00153860,L44,5354998
NB00153860,L45,5450594
NB00153860,L46,5443784
NB00153860,L47,5420370
NB00153860,L48,5210088
NB00153860,M01,141146
NB00153860,M02,136503
NB00153860,M03,134304
NB00153860,M04,135632
NB00153860,M05,4537724
NB00153860,M06,4478559
NB00153860,M07,4532404
NB00153860,M08,4566250
NB00153860,M09,4498111
NB00153860,M10,4759997
NB00153860,M11,4591520
NB00153860,M12,4431155
NB00153860,M13,4525602
NB00153860,M14,4627335
NB00153860,M15,4592684
NB00153860,M16,4433409
NB00153860,M17,4610611
NB00153860,M18,4569306
NB00153860,M19,4700337
NB00153860,M20,4458943
NB00153860,M21,4596942
NB00153860,M22,4705390
NB00153860,M23,4546520
NB00153860,M24,4752910
NB00153860,M25,4664672
NB00153860,M26,4883450
NB00153860,M27,4753615
NB00153860,M28,4744408
NB00153860,M29,4811671
NB00153860,M30,5012368
NB00153860,M31,5061509
NB00153860,M32,4895644
NB00153860,M33,4864115
NB00153860,M34,5092974
NB00153860,M35,5042930
NB00153860,M36,4922702
NB00153860,M37,4986824
NB00153860,M38,5158401
NB00153860,M39,5050360
NB00153860,M40,5138536
NB00153860,M41,5200316
NB00153860,M42,5098486
NB00153860,M43,5504333
NB00153860,M44,5179492
NB00153860,M45,5301233
NB00153860,M46,5361455
NB00153860,M47,5277350
NB00153860,M48,5283057
NB00153860,N01,138805
NB00153860,N02,138145
NB00153860,N03,140621
NB00153860,N04,136835
NB00153860,N05,5037316
NB00153860,N06,5171481
NB00153860,N07,5030473
NB00153860,N08,4922769
NB00153860,N09,4995352
NB00153860,N10,5075771
NB00153860,N11,5054882
NB00153860,N12,5018312
NB00153860,N13,5032830
NB00153860,N14,5086047
NB00153860,N15,4989612
NB00153860,N16,4899558
NB00153860,N17,5026175
NB00153860,N18,5039774
NB00153860,N19,4917628
NB00153860,N20,4963262
NB00153860,N21,4940707
NB00153860,N22,4929768
NB00153860,N23,5274697
NB00153860,N24,5043304
NB00153860,N25,5044746
NB00153860,N26,5211644
NB00153860,N27,5236629
NB00153860,N28,5057876
NB00153860,N29,5302779
NB00153860,N30,5192649
NB00153860,N31,5340988
NB00153860,N32,5328430
NB00153860,N33,5232526
NB00153860,N34,5277824
NB00153860,N35,5329331
NB00153860,N36,5194660
NB00153860,N37,5294226
NB00153860,N38,5319584
NB00153860,N39,5280932
NB00153860,N40,5369790
NB00153860,N41,5502040
NB00153860,N42,5453197
NB00153860,N43,5462911
NB00153860,N44,5356861
NB00153860,N45,5476367
NB00153860,N46,5428738
NB00153860,N47,5376268
NB00153860,N48,5284654
NB00153860,O01,140156
NB00153860,O02,136260
NB00153860,O03,134805
NB00153860,O04,133341
NB00153860,O05,4860121
NB00153860,O06,4800836
NB00153860,O07,4832222
NB00153860,O08,4802970
NB00153860,O09,4802182
NB00153860,O10,4714340
NB00153860,O11,4831304
NB00153860,O12,4735390
NB00153860,O13,4736368
NB00153860,O14,4674464
NB00153860,O15,4828139
NB00153860,O16,4827676
NB00153860,O17,4775017
NB00153860,O18,4765452
NB00153860,O19,4934664
NB00153860,O20,4697182
NB00153860,O21,4740912
NB00153860,O22,4697154
NB00153860,O23,4859208
NB00153860,O24,4794031
NB00153860,O25,4720764
NB00153860,O26,4867597
NB00153860,O27,4856259
NB00153860,O28,5022765
NB00153860,O29,4984035
NB00153860,O30,5019301
NB00153860,O31,5175379
NB00153860,O32,4985253
NB00153860,O33,5003747
NB00153860,O34,5309227
NB00153860,O35,5142483
NB00153860,O36,5044029
NB00153860,O37,5124087
NB00153860,O38,4639809
NB00153860,O39,5175701
NB00153860,O40,5236654
NB00153860,O41,5356183
NB00153860,O42,5174854
NB00153860,O43,5283758
NB00153860,O44,5372242
NB00153860,O45,5315388
NB00153860,O46,5356215
NB00153860,O47,5326232
NB00153860,O48,5263228
NB00153860,P01,193237
NB00153860,P02,161569
NB00153860,P03,142034
NB00153860,P04,138712
NB00153860,P05,5005864
NB00153860,P06,4869045
NB00153860,P07,4820809
NB00153860,P08,4943883
NB00153860,P09,4900355
NB00153860,P10,4994802
NB00153860,P11,4980833
NB00153860,P12,4888122
NB00153860,P13,5078025
NB00153860,P14,5045137
NB00153860,P15,4970355
NB00153860,P16,4843097
NB00153860,P17,4886726
NB00153860,P18,5098357
NB00153860,P19,4958958
NB00153860,P20,4842009
NB00153860,P21,4974812
NB00153860,P22,4954643
NB00153860,P23,4789295
NB00153860,P24,5066765
NB00153860,P25,5196120
NB00153860,P26,5234474
NB00153860,P27,5041183
NB00153860,P28,5024057
NB00153860,P29,5081203
NB00153860,P30,5017291
NB00153860,P31,5368973
NB00153860,P32,5108281
NB00153860,P33,5284095
NB00153860,P34,5222451
NB00153860,P35,5173511
NB00153860,P36,5199721
NB00153860,P37,5337172
NB00153860,P38,5698489
NB00153860,P39,5290106
NB00153860,P40,5382718
NB00153860,P41,5526733
NB00153860,P42,5507228
NB00153860,P43,5381971
NB00153860,P44,5384127
NB00153860,P45,5599562
NB00153860,P46,5512948
NB00153860,P47,5665576
NB00153860,P48,5091411
NB00153860,Q01,5058640
NB00153860,Q02,4934027
NB00153860,Q03,4899529
NB00153860,Q04,4965172
NB00153860,Q05,4680194
NB00153860,Q06,4854950
NB00153860,Q07,4786721
NB00153860,Q08,4712056
NB00153860,Q09,4660729
NB00153860,Q10,4755646
NB00153860,Q11,4695757
NB00153860,Q12,4642424
